Barrio,Habitaciones,Viviendas
Abrantes,0,1
Abrantes,1,15
Abrantes,2,1
Abrantes,3,1
Acacias,0,6
Acacias,1,111
Acacias,2,22
Acacias,3,4
Acacias,4,2
Adelfas,0,5
Adelfas,1,31
Adelfas,2,12
Adelfas,3,1
Adelfas,4,2
Aeropuerto,1,4
Aeropuerto,2,1
Aeropuerto,3,1
Aguilas,1,12
Aguilas,2,3
Alameda de Osuna,1,20
Alameda de Osuna,2,2
Alameda de Osuna,4,2
Almagro,0,11
Almagro,1,100
Almagro,2,28
Almagro,3,7
Almagro,4,9
Almenara,0,6
Almenara,1,46
Almenara,2,8
Almenara,3,2
Almendrales,0,8
Almendrales,1,32
Almendrales,2,1
Almendrales,3,4
Aluche,1,37
Aluche,2,4
Aluche,3,4
Ambroz,1,10
Ambroz,2,2
Amposta,1,5
Apostol Santiago,0,1
Apostol Santiago,1,11
Apostol Santiago,2,1
Apostol Santiago,3,2
Arapiles,0,27
Arapiles,1,124
Arapiles,2,19
Arapiles,3,11
Arapiles,4,1
Aravaca,1,10
Aravaca,2,4
Aravaca,3,1
Aravaca,5,1
Arcos,1,16
Arcos,3,1
Arcos,5,1
Argüelles,0,18
Argüelles,1,171
Argüelles,2,53
Argüelles,3,13
Argüelles,4,3
Argüelles,5,4
Argüelles,6,1
Argüelles,10,1
Atocha,1,15
Atocha,2,1
Atocha,3,1
Atocha,4,1
Bellas Vistas,0,8
Bellas Vistas,1,52
Bellas Vistas,2,16
Bellas Vistas,3,3
Berruguete,0,2
Berruguete,1,51
Berruguete,2,11
Berruguete,3,3
Buenavista,1,14
Buenavista,2,5
Buenavista,3,3
Butarque,1,6
Campamento,1,14
Campamento,2,1
Campamento,3,7
Canillas,0,1
Canillas,1,28
Canillas,2,5
Canillas,3,4
Canillas,4,3
Canillas,5,1
Canillejas,1,5
Canillejas,3,2
Cármenes,0,1
Cármenes,1,21
Cármenes,2,4
Cármenes,3,4
Casa de Campo,0,4
Casa de Campo,1,47
Casa de Campo,2,14
Casa de Campo,3,6
Casa de Campo,4,3
Casa de Campo,5,1
Casco Histórico de Barajas,1,22
Casco Histórico de Barajas,2,3
Casco Histórico de Barajas,4,3
Casco Histórico de Vallecas,0,4
Casco Histórico de Vallecas,1,31
Casco Histórico de Vallecas,2,5
Casco Histórico de Vicálvaro,0,2
Casco Histórico de Vicálvaro,1,12
Casco Histórico de Vicálvaro,2,4
Casco Histórico de Vicálvaro,3,1
Casco Histórico de Vicálvaro,4,1
Castellana,0,3
Castellana,1,53
Castellana,2,28
Castellana,3,10
Castellana,4,3
Castilla,0,2
Castilla,1,15
Castilla,2,6
Castilla,3,2
Castilla,4,1
Castillejos,0,6
Castillejos,1,60
Castillejos,2,10
Castillejos,3,2
Castillejos,4,2
Castillejos,5,1
Chopera,0,1
Chopera,1,92
Chopera,2,17
Chopera,4,2
Ciudad Jardín,0,3
Ciudad Jardín,1,36
Ciudad Jardín,2,9
Ciudad Jardín,3,7
Ciudad Universitaria,0,1
Ciudad Universitaria,1,25
Ciudad Universitaria,2,4
Ciudad Universitaria,3,3
Ciudad Universitaria,7,1
Colina,0,2
Colina,1,13
Colina,2,1
Comillas,0,2
Comillas,1,46
Comillas,2,6
Comillas,3,5
Concepción,0,2
Concepción,1,35
Concepción,2,9
Corralejos,1,3
Corralejos,2,2
Cortes,0,101
Cortes,1,448
Cortes,2,148
Cortes,3,34
Cortes,4,12
Cortes,5,3
Cortes,7,1
Cortes,8,3
Costillares,1,25
Costillares,2,6
Costillares,4,1
Cuatro Caminos,0,6
Cuatro Caminos,1,90
Cuatro Caminos,2,21
Cuatro Caminos,3,3
Cuatro Vientos,1,2
Cuatro Vientos,2,1
Delicias,0,3
Delicias,1,96
Delicias,2,17
Delicias,3,7
Delicias,4,2
Delicias,5,1
El Goloso,1,3
El Plantío,1,2
El Plantío,3,1
El Viso,0,3
El Viso,1,32
El Viso,2,6
El Viso,3,4
Embajadores,0,175
Embajadores,1,1272
Embajadores,2,273
Embajadores,3,102
Embajadores,4,15
Embajadores,5,7
Entrevías,1,12
Entrevías,3,1
Estrella,0,1
Estrella,1,23
Estrella,2,1
Estrella,3,3
Fontarrón,1,21
Fontarrón,2,1
Fontarrón,3,2
Fuente del Berro,0,4
Fuente del Berro,1,49
Fuente del Berro,2,11
Fuente del Berro,3,4
Fuentelareina,1,1
Fuentelareina,2,1
Fuentelareina,4,1
Gaztambide,0,3
Gaztambide,1,113
Gaztambide,2,10
Gaztambide,3,9
Gaztambide,4,1
Gaztambide,5,3
Gaztambide,6,1
Gaztambide,10,2
Goya,0,8
Goya,1,130
Goya,2,71
Goya,3,18
Goya,4,1
Goya,8,1
Guindalera,0,8
Guindalera,1,136
Guindalera,2,24
Guindalera,3,17
Guindalera,4,2
Hellín,1,4
Hellín,3,1
Hispanoamérica,0,2
Hispanoamérica,1,42
Hispanoamérica,2,20
Hispanoamérica,3,7
Hispanoamérica,10,1
Ibiza,0,1
Ibiza,1,67
Ibiza,2,19
Ibiza,3,14
Ibiza,4,3
Ibiza,5,1
Imperial,0,3
Imperial,1,60
Imperial,2,23
Imperial,3,3
Jerónimos,0,3
Jerónimos,1,48
Jerónimos,2,27
Jerónimos,3,7
Jerónimos,4,4
Jerónimos,5,1
Justicia,0,84
Justicia,1,515
Justicia,2,140
Justicia,3,30
Justicia,4,11
Justicia,5,2
Justicia,6,1
Justicia,7,2
La Paz,1,13
La Paz,2,1
La Paz,3,2
Legazpi,1,32
Legazpi,2,5
Lista,0,6
Lista,1,85
Lista,2,27
